SampleID	sample_accession	secondary_sample_accession	experiment_accession	run_accession
SMIC.001.01.Day.02	SAMEA18556168	ERS1462856	ERX1925870	ERR1864983
SMIC.001.02.Day.02	SAMEA18556918	ERS1462857	ERX1925871	ERR1864984
SMIC.002.01.Day.02	SAMEA18557668	ERS1462858	ERX1925872	ERR1864985
SMIC.003.01.Day.02	SAMEA18558418	ERS1462859	ERX1925873	ERR1864986
SMIC.004.01.Day.02	SAMEA18559168	ERS1462860	ERX1925874	ERR1864987
SMIC.005.01.Day.02	SAMEA18559918	ERS1462861	ERX1925875	ERR1864988
SMIC.006.01.Day.02	SAMEA18560668	ERS1462862	ERX1925876	ERR1864989
SMIC.006.02.Day.02	SAMEA18561418	ERS1462863	ERX1925877	ERR1864990
SMIC.007.01.Day.02	SAMEA18562168	ERS1462864	ERX1925878	ERR1864991
SMIC.008.01.Day.02	SAMEA18562918	ERS1462865	ERX1925879	ERR1864992
SMIC.008.02.Day.02	SAMEA18563668	ERS1462866	ERX1925880	ERR1864993
SMIC.008.03.Day.02	SAMEA18564418	ERS1462867	ERX1925881	ERR1864994
SMIC.009.01.Day.02	SAMEA18565168	ERS1462868	ERX1925882	ERR1864995
SMIC.009.02.Day.02	SAMEA18565918	ERS1462869	ERX1925883	ERR1864996
SMIC.009.03.Day.02	SAMEA18566668	ERS1462870	ERX1925884	ERR1864997
SMIC.009.04.Day.02	SAMEA18567418	ERS1462871	ERX1925885	ERR1864998
SMIC.009.05.Day.02	SAMEA18568168	ERS1462872	ERX1925886	ERR1864999
SMIC.010.02.Day.02	SAMEA18568918	ERS1462873	ERX1925887	ERR1865000
SMIC.011.01.Day.02	SAMEA18569668	ERS1462874	ERX1925888	ERR1865001
SMIC.012.01.Day.02	SAMEA18570418	ERS1462875	ERX1925889	ERR1865002
SMIC.012.02.Day.02	SAMEA18571168	ERS1462876	ERX1925890	ERR1865003
SMIC.013.01.Day.02	SAMEA18571918	ERS1462877	ERX1925891	ERR1865004
SMIC.014.01.Day.02	SAMEA18572668	ERS1462878	ERX1925892	ERR1865005
SMIC.014.02.Day.02	SAMEA18573418	ERS1462879	ERX1925893	ERR1865006
SMIC.014.03.Day.02	SAMEA18574168	ERS1462880	ERX1925894	ERR1865007
SMIC.015.01.Day.02	SAMEA18574918	ERS1462881	ERX1925895	ERR1865008
SMIC.016.01.Day.02	SAMEA18575668	ERS1462882	ERX1925896	ERR1865009
SMIC.016.02.Day.02	SAMEA18576418	ERS1462883	ERX1925897	ERR1865010
SMIC.017.01.Day.02	SAMEA18577168	ERS1462884	ERX1925898	ERR1865011
SMIC.017.02.Day.02	SAMEA18577918	ERS1462885	ERX1925899	ERR1865012
SMIC.017.03.Day.02	SAMEA18578668	ERS1462886	ERX1925900	ERR1865013
SMIC.018.01.Day.02	SAMEA18579418	ERS1462887	ERX1925901	ERR1865014
SMIC.020.01.Day.02	SAMEA18580168	ERS1462888	ERX1925902	ERR1865015
SMIC.021.02.Day.02	SAMEA18580918	ERS1462889	ERX1925903	ERR1865016
SMIC.021.03.Day.02	SAMEA18581668	ERS1462890	ERX1925904	ERR1865017
SMIC.021.04.Day.02	SAMEA18582418	ERS1462891	ERX1925905	ERR1865018
SMIC.022.01.Day.02	SAMEA18583168	ERS1462892	ERX1925906	ERR1865019
SMIC.022.02.Day.02	SAMEA18583918	ERS1462893	ERX1925907	ERR1865020
SMIC.022.03.Day.02	SAMEA18584668	ERS1462894	ERX1925908	ERR1865021
SMIC.023.01.Day.02	SAMEA18585418	ERS1462895	ERX1925909	ERR1865022
SMIC.024.01.Day.02	SAMEA18586168	ERS1462896	ERX1925910	ERR1865023
SMIC.026.01.Day.02	SAMEA18586918	ERS1462897	ERX1925911	ERR1865024
SMIC.026.02.Day.02	SAMEA18587668	ERS1462898	ERX1925912	ERR1865025
SMIC.028.01.Day.02	SAMEA18588418	ERS1462899	ERX1925913	ERR1865026
SMIC.028.02.Day.02	SAMEA18589168	ERS1462900	ERX1925914	ERR1865027
SMIC.029.01.Day.02	SAMEA18589918	ERS1462901	ERX1925915	ERR1865028
SMIC.029.02.Day.02	SAMEA18590668	ERS1462902	ERX1925916	ERR1865029
SMIC.029.03.Day.02	SAMEA18591418	ERS1462903	ERX1925917	ERR1865030
SMIC.030.01.Day.02	SAMEA18592168	ERS1462904	ERX1925918	ERR1865031
SMIC.030.02.Day.02	SAMEA18592918	ERS1462905	ERX1925919	ERR1865032
SMIC.030.04.Day.02	SAMEA18593668	ERS1462906	ERX1925920	ERR1865033
SMIC.030.05.Day.02	SAMEA18594418	ERS1462907	ERX1925921	ERR1865034
SMIC.031.01.Day.02	SAMEA18595168	ERS1462908	ERX1925922	ERR1865035
SMIC.031.02.Day.02	SAMEA18595918	ERS1462909	ERX1925923	ERR1865036
SMIC.031.03.Day.02	SAMEA18596668	ERS1462910	ERX1925924	ERR1865037
SMIC.031.04.Day.02	SAMEA18597418	ERS1462911	ERX1925925	ERR1865038
SMIC.033.01.Day.02	SAMEA18598168	ERS1462912	ERX1925926	ERR1865039
SMIC.033.02.Day.02	SAMEA18598918	ERS1462913	ERX1925927	ERR1865040
SMIC.033.03.Day.02	SAMEA18599668	ERS1462914	ERX1925928	ERR1865041
SMIC.034.01.Day.02	SAMEA18600418	ERS1462915	ERX1925929	ERR1865042
SMIC.034.02.Day.02	SAMEA18601168	ERS1462916	ERX1925930	ERR1865043
SMIC.035.01.Day.02	SAMEA18601918	ERS1462917	ERX1925931	ERR1865044
SMIC.035.02.Day.02	SAMEA18602668	ERS1462918	ERX1925932	ERR1865045
SMIC.035.03.Day.02	SAMEA18603418	ERS1462919	ERX1925933	ERR1865046
SMIC.036.01.Day.02	SAMEA18604168	ERS1462920	ERX1925934	ERR1865047
SMIC.036.03.Day.02	SAMEA18604918	ERS1462921	ERX1925935	ERR1865048
SMIC.037.01.Day.02	SAMEA18605668	ERS1462922	ERX1925936	ERR1865049
SMIC.037.02.Day.02	SAMEA18606418	ERS1462923	ERX1925937	ERR1865050
SMIC.039.01.Day.02	SAMEA18607168	ERS1462924	ERX1925938	ERR1865051
SMIC.040.01.Day.02	SAMEA18607918	ERS1462925	ERX1925939	ERR1865052
SMIC.040.02.Day.02	SAMEA18608668	ERS1462926	ERX1925940	ERR1865053
SMIC.040.03.Day.02	SAMEA18609418	ERS1462927	ERX1925941	ERR1865054
SMIC.041.01.Day.02	SAMEA18610168	ERS1462928	ERX1925942	ERR1865055
SMIC.041.02.Day.02	SAMEA18610918	ERS1462929	ERX1925943	ERR1865056
SMIC.042.01.Day.02	SAMEA18611668	ERS1462930	ERX1925944	ERR1865057
SMIC.043.02.Day.02	SAMEA18612418	ERS1462931	ERX1925945	ERR1865058
SMIC.044.02.Day.02	SAMEA18613168	ERS1462932	ERX1925946	ERR1865059
SMIC.048.01.Day.02	SAMEA18613918	ERS1462933	ERX1925947	ERR1865060
SMIC.048.02.Day.02	SAMEA18614668	ERS1462934	ERX1925948	ERR1865061
SMIC.048.03.Day.02	SAMEA18615418	ERS1462935	ERX1925949	ERR1865062
SMIC.050.01.Day.02	SAMEA18616168	ERS1462936	ERX1925950	ERR1865063
SMIC.055.01.Day.02	SAMEA18616918	ERS1462937	ERX1925951	ERR1865064
SMIC.056.01.Day.02	SAMEA18617668	ERS1462938	ERX1925952	ERR1865065
SMIC.059.01.Day.02	SAMEA18618418	ERS1462939	ERX1925953	ERR1865066
SMIC.061.01.Day.02	SAMEA18619168	ERS1462940	ERX1925954	ERR1865067
SMIC.062.02.Day.02	SAMEA18619918	ERS1462941	ERX1925955	ERR1865068
SMIC.064.01.Day.02	SAMEA18620668	ERS1462942	ERX1925956	ERR1865069
SMIC.070.01.Day.02	SAMEA18621418	ERS1462943	ERX1925957	ERR1865070
SMIC.071.01.Day.02	SAMEA18622168	ERS1462944	ERX1925958	ERR1865071
SMIC.071.03.Day.02	SAMEA18622918	ERS1462945	ERX1925959	ERR1865072
SMIC.072.01.Day.02	SAMEA18623668	ERS1462946	ERX1925960	ERR1865073
SMIC.073.01.Day.02	SAMEA18624418	ERS1462947	ERX1925961	ERR1865074
SMIC.073.02.Day.02	SAMEA18625168	ERS1462948	ERX1925962	ERR1865075
SMIC.074.01.Day.02	SAMEA18625918	ERS1462949	ERX1925963	ERR1865076
SMIC.074.02.Day.02	SAMEA18626668	ERS1462950	ERX1925964	ERR1865077
SMIC.075.01.Day.02	SAMEA18627418	ERS1462951	ERX1925965	ERR1865078
SMIC.082.01.Day.02	SAMEA18628168	ERS1462952	ERX1925966	ERR1865079
SMIC.084.01.Day.02	SAMEA18628918	ERS1462953	ERX1925967	ERR1865080
