coefficient	226_f	225_f	224_f	223_f	222_f	221_f	220_f	219_f	218_f	217_f	216_f	215_f	214_f	213_f	212_f	211_f	210_f	209_f	208_f	207_f	206_f	205_f	204_f	203_f	202_f	201_f	200_f	199_f	198_f	197_f	196_f	195_f	194_f	193_f	192_f	191_f	190_f	189_f	188_f	187_f	186_f	185_f	184_f	183_f	182_f	181_f	180_f	179_f	178_f	177_f	176_f	175_f	174_f	173_f	172_f	171_f	170_f	169_f	168_f	167_f	166_f	165_f	164_f	163_f	162_f	161_f	160_f	159_f	158_f	157_f	156_f	155_f	154_f	153_f	152_f	151_f	150_f	149_f	148_f	147_f	146_f	145_f	144_f	143_f	142_f	141_f	140_f	139_f	138_f	137_f	136_f	135_f	134_f	133_f	132_f	131_f	130_f	129_f	128_f	127_f	126_f	125_f	124_f	123_f	122_f	121_f	120_f	119_f	118_f	117_f	116_f	115_f	114_f	113_f	112_f	111_f	110_f	109_f	108_f	107_f	106_f	105_f	104_f	103_f	102_f	101_f	100_f	99_f	98_f	97_f	96_f	95_f	94_f	93_f	92_f	91_f	90_f	89_f	88_f	87_f	86_f	85_f	84_f	83_f	82_f	81_f	80_f	79_f	78_f	77_f	76_f	75_f	74_f	73_f	72_f	71_f	70_f	69_f	68_f	67_f	66_f	65_f	64_f	63_f	62_f	61_f	60_f	59_f	58_f	57_f	56_f	55_f	54_f	53_f	52_f	51_f	50_f	49_f	48_f	47_f	46_f	45_f	44_f	43_f	42_f	41_f	40_f	39_f	38_f	37_f	36_f	35_f	34_f	33_f	32_f	31_f	30_f	29_f	28_f	27_f	26_f	25_f	24_f	23_f	22_f	21_f	20_f	19_f	18_f	17_f	16_f	15_f	14_f	13_f	12_f	11_f	10_f	9_f	8_f	7_f	6_f	5_f	4_f	3_f	2_f	1_f
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	-0.0931125262263	-0.0931142512975	-0.0931531576737	-0.0931101893001	-0.0931843124303	-0.0931428263152	-0.0931440072976	-0.0931255388127	-0.0931697413864	-0.0932116573942	-0.0931816689818	-0.0932621494018	-0.0932565514368	-0.0933174697276	-0.093335163497	-0.0934021291513	-0.0933669772035	-0.0933503746153	-0.0933405899856	-0.093336472476	-0.0933399824807	-0.0931957927987	-0.0937281116041	-0.0940158525094	-0.0938667630234	-0.0936704702587	-0.0933599977492	-0.0931989097767	-0.0932614055941	-0.0928982075025	-0.09276390191	-0.0925888224598	-0.0924112500192	-0.0925530965635	-0.0925596715698	-0.0925122884333	-0.0924015095209	-0.0922244984468	-0.0921840626728	-0.0920412450661	-0.0925482389638	-0.0921564170604	-0.0922532703774	-0.0920040014348	-0.0921104789825	-0.0918900443327	-0.0918096271259	-0.0920091362728	-0.0916200040929	-0.0916026793879	-0.0912178161392	-0.0912304707451	-0.0908128513544	-0.0905216365276	-0.0906996461466	-0.0916391949073	-0.0920408470355	-0.0923393874903	-0.0923638091001	-0.0925529956715	-0.0914108731606	-0.0927236847965	-0.0932035815837	-0.0933053740459	-0.0934556110895	-0.0938106301685	-0.0929430405271	-0.0929577261579	-0.0940294715902	-0.0932699348245	-0.0922509083373	-0.0923748359002	-0.0922551183107	-0.0922257417161	-0.0922739143455	-0.0921236178831	-0.092911895034	-0.0925135207453	-0.0917169903857	-0.0912636390927	-0.0910971397261	-0.0929933833458	-0.0940228518012	-0.0933359615186	-0.0945278393842	-0.0953379491551	-0.0947316994407	-0.0943508498368	-0.0955737795428	-0.0945350743392	-0.0957142147096	-0.0967226866884	-0.0978175088494	-0.0952602660373	-0.0954729482509	-0.096291025738	-0.0954708365562	-0.0979641358385	-0.0991902469763	-0.098335094379	-0.0976869849792	-0.0983076155439	-0.0977953750909	-0.0964378465825	-0.099098386596	-0.0987938724713	-0.0967514528936	-0.0974382266772	-0.0967238529582	-0.100477551868	-0.100254385849	-0.101701275984	-0.0990996194431	-0.0994630753521	-0.100744423283	-0.100803789823	-0.101397874073	-0.0987940025988	-0.0934288270984	-0.0912888478173	-0.091049029289	-0.0939134299459	-0.092075375193	-0.0947347128054	-0.0944749344957	-0.0906603077156	-0.0897095263429	-0.0878462770631	-0.0869774077466	-0.0936568946632	-0.0994864514048	-0.104412136096	-0.106663998329	-0.103804004711	-0.104445235391	-0.107839066846	-0.104445309575	-0.10099443658	-0.103309488219	-0.108565828473	-0.104905087299	-0.107591206526	-0.108457719244	-0.107627154352	-0.109741531122	-0.104588904776	-0.0989387827294	-0.0928808332896	-0.0974134867701	-0.0894597265014	-0.0962064345816	-0.101590208104	-0.109449654504	-0.100295720435	-0.100486552154	-0.106375339495	-0.105161823855	-0.107155052046	-0.109953845851	-0.107844629	-0.118308646539	-0.121194133488	-0.119854441558	-0.12093083575	-0.111344304168	-0.108173084786	-0.10586176662	-0.130979897877	-0.124387927299	-0.133865416267	-0.137875586974	-0.132975113492	-0.133279935596	-0.121135433331	-0.122477585338	-0.162514728542	-0.164177411649	-0.162272730531	-0.163768609341	-0.16986900867	-0.176330306739	-0.159942424915	-0.163559930043	-0.160016624421	-0.162127304397	-0.160111126739	-0.151239961006	-0.155797173552	-0.152098274183	-0.14575109861	-0.141642110135	-0.141932886629	-0.156587752473	-0.12970430798	-0.199309998055	-0.211401943907	-0.203929473863	-0.209879691853	-0.214990065907	-0.222564943188	-0.191059762567	-0.174495761743	-0.1600563743	-0.174608857614	-0.133058020283	-0.111354215447																				
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__;s__	-0.0662612370103	-0.0662664518692	-0.0662433466361	-0.0662289558954	-0.0662679315195	-0.06621107722	-0.066182343455	-0.0662179817257	-0.066268001615	-0.0663131988981	-0.0662803707187	-0.066357971908	-0.0663860530322	-0.066370513401	-0.0663128704796	-0.0662115803217	-0.0661396760893	-0.0662457692479	-0.0661509777903	-0.0662342957216	-0.0659101555117	-0.0658134714835	-0.0660188819174	-0.0660979923991	-0.0659477922948	-0.0662917658727	-0.0663907654534	-0.0664080279744	-0.0664275901971	-0.0665030268387	-0.0663578670692	-0.0664146684379	-0.0665208930532	-0.0662491227935	-0.0663689377769	-0.0666462034747	-0.066522373907	-0.0664128893344	-0.0666161051186	-0.0663826846836	-0.0665803508149	-0.066497985122	-0.0663089114488	-0.0664711000922	-0.0668609571843	-0.0672007474666	-0.0668920251738	-0.0666652386145	-0.0667939089916	-0.066695357077	-0.0667255544485	-0.066513447566	-0.06693362815	-0.0668020768293	-0.0665158353941	-0.0664372226766	-0.0663112685647	-0.0660865125461	-0.0665735565159	-0.0669744197612	-0.0666898843552	-0.0673465026591	-0.0666121631676	-0.0665333503011	-0.0672180597035	-0.0662474388889	-0.0663404403281	-0.0668983878615	-0.0663049811196	-0.0679363541042	-0.0685401809545	-0.0689583675704	-0.0683998494929	-0.068736018278	-0.0688592317198	-0.0689666617819	-0.0680830421604	-0.0675236115627	-0.0670614593439	-0.0668756147062	-0.0660142136317	-0.0681913097315	-0.0692396236692	-0.0693489956412	-0.0687876446473	-0.0699764978624	-0.0706020165591	-0.0702293710749	-0.0704767151915	-0.0713508156426	-0.0716931969117	-0.0724254053608	-0.0725713087617	-0.0737375168146	-0.0723298615761	-0.0718909704067	-0.073440851423	-0.073887830222	-0.0735566187228	-0.0728930682447	-0.0723047308636	-0.0730639204286	-0.0737985170744	-0.0740199888046	-0.0707382521762	-0.0719957514202	-0.0738500248559	-0.0735385693064	-0.0764081179049	-0.0750297024354	-0.0740867142183	-0.0769128663966	-0.0744877579977	-0.0742099625569	-0.073967116389	-0.0726640050697	-0.0727982652846	-0.0735586053876	-0.0777799058172	-0.0790865635883	-0.083213275831	-0.0832250827031	-0.0850349672287	-0.0812473518696	-0.087208463895	-0.0911381986076	-0.0880000990215	-0.0865874852863	-0.0858937072621	-0.0872066251694	-0.0872456801711	-0.0881856750952	-0.0919113831193	-0.0915682001522	-0.0943791268077	-0.0937249772964	-0.0863730055181	-0.0837062101338	-0.0910957334607	-0.0900271964174	-0.0871104914611	-0.0875179826396	-0.0867399113792	-0.0854045664515	-0.0859182027336	-0.0799754909895	-0.0739955259745	-0.077169569225	-0.0809221725928	-0.0735605515479	-0.0714163871544	-0.0753911226485	-0.086078696806	-0.0902754025315	-0.0900172638913	-0.0826154112931	-0.0848325518667	-0.0919457367117	-0.0804422553036	-0.0869173508216	-0.0968536616498	-0.109057318063	-0.10714092749	-0.109255958985	-0.0998146793183	-0.0960825600852	-0.102472658719	-0.0931729530931	-0.0929328368514	-0.0939621875701	-0.0918268636414	-0.0971063864045	-0.113607225077	-0.121326390728	-0.116957265342	-0.0917760161138	-0.0962616161287	-0.113946417647	-0.120772725414	-0.11442113698	-0.122002438972	-0.113559087302	-0.142227014327	-0.112354060545	-0.127757235597	-0.129051373848	-0.137725237573	-0.150137911466	-0.13310827997	-0.137637054293	-0.119407383397	-0.0850195776183	-0.0839049995775	-0.130732305536	-0.110601346367	-0.122723884734	-0.119639898748	-0.113076945245	-0.13250811682	-0.191360111853	-0.156514680307	-0.175024934213	-0.211438403839	-0.213287543267	-0.212969272391	-0.169676194467	-0.195591181303	-0.292553158237	-0.279491879872	-0.18946937471	-0.238212712706	-0.293697455382	-0.479191425338	-0.392820065895	-0.562998344758	-0.541750850806	-0.863481297747	-1.284939661	-3.70903099455	-3.08289980444	-1.60361683762	-1.43576887743	-0.228187437174			
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__	0.0366325330781	0.0366408231818	0.0366261115672	0.0366068894264	0.0365526062691	0.036564821817	0.0366251712901	0.036614791717	0.0365873689727	0.0365601553427	0.0366355949025	0.0366352454797	0.0366025573116	0.0365010783899	0.0365126471785	0.0365457898349	0.0364266201832	0.0365113149254	0.0366613310208	0.0367792576216	0.0369072503509	0.0371064614919	0.037472753229	0.0376899986571	0.0376560854917	0.0372132155457	0.0371394800058	0.037485553535	0.0376489095794	0.0377044805017	0.0376770820134	0.0383450761958	0.0382181146356	0.0378092910514	0.0377288307409	0.0376858283882	0.0374296755316	0.0379077473309	0.0372810611146	0.0374540557254	0.0379116506513	0.0376415670232	0.0376810896285	0.0383170445154	0.0381888022741	0.0377613233817	0.0375652582014	0.0371080955329	0.0372581088915	0.0375143797913	0.0373544614436	0.0376006212638	0.0375125886699	0.0378010142785	0.0368549993326	0.0366869654155	0.0358872658759	0.0362816926824	0.0356521789138	0.0353360755622	0.035405441371	0.0360741170646	0.0369599618558	0.0372550106564	0.0371585685093	0.0380235763104	0.0390280124873	0.0388943212332	0.0371567515428	0.0361102719121	0.0375082054152	0.0363376442621	0.0378611502875	0.0387956017952	0.0379621764252	0.0385876847092	0.038610817455	0.0379565949737	0.0365962619246	0.0379135236514	0.037258490116	0.035078494033	0.0355925196119	0.0354889058379	0.0369210866782	0.0379663744365	0.0395689643768	0.038665468732	0.0393238166087	0.0403826894381	0.0399771431836	0.0404317239175	0.0396900654565	0.0389596211412	0.0403908589595	0.0415463680069	0.0415723270961	0.03911547013	0.0417692026878	0.0420455899299	0.040272240152	0.0385381271066	0.0420966819829	0.0444515807328	0.0444681460908	0.0424586765846	0.0426415737062	0.0460750451619	0.0467917282379	0.0494777571273	0.0487653327808	0.0478955918641	0.0467246535353	0.0458969766705	0.0456850879774	0.0453082340631	0.0440009714347	0.0435316933335	0.0465886941212	0.0524969658421	0.0476312935147	0.0465849037837	0.0461443069259	0.0444297516956	0.0444593308397	0.0428066877168	0.0452534280826	0.0494685191815	0.053561690492	0.0554746110953	0.0493402558771	0.050066440201	0.0505242124186	0.0526334171436	0.0467959679191	0.0543143900989	0.0521583040389	0.0513747037132	0.0476531465544	0.0460405269038	0.0468525389423	0.0491930759092	0.0449720749021	0.0386342193833	0.035343621313																																																																																	
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__	0.078475286006	0.0784787210652	0.07844997314	0.0783828532164	0.0783929629631	0.0783926185674	0.0784224157365	0.0784595798283	0.078509704306	0.0784772808234	0.0784980986416	0.078455091068	0.0784899160965	0.0784327927397	0.0784619431488	0.0783037154903	0.0782816868061	0.0783154297328	0.0783021135231	0.0782881553405	0.0783518211679	0.0781919614342	0.0784566769691	0.0784107274974	0.0782779272287	0.0786351732545	0.0791398427158	0.0792777788101	0.0795578728978	0.0793317580379	0.0789511815066	0.0790659357046	0.0790806299706	0.0788831839736	0.0791098197324	0.0788137740542	0.0787064768104	0.0791679834743	0.0793308557185	0.0796344297952	0.0790905067167	0.0797225927043	0.0790512564246	0.0794204898793	0.0795078757877	0.0799707177764	0.0791552898534	0.0790589205058	0.0793002847853	0.0795172808871	0.0791456770944	0.0791842794103	0.0794381985107	0.0795500564569	0.0798069722205	0.0783933728141	0.0792473006572	0.0787745203575	0.0784544040779	0.0790655509511	0.0795095491447	0.0797171959165	0.0802825112826	0.0798353178787	0.0804264772612	0.080360870745	0.0803488885867	0.081155037759	0.0800030191028	0.0809545641626	0.0799008958012	0.0797188219419	0.0793678175451	0.0795442938506	0.0792689843244	0.0793013258027	0.0784739105622	0.0790706928083	0.0803403068493	0.0799581267303	0.0799504518994	0.0801509422023	0.0805417895168	0.0805756170088	0.08220838985	0.0840349052037	0.0841016373771	0.0854983231834	0.0855029852969	0.0857852846938	0.0845402257891	0.0822915068341	0.0830509321231	0.0839823834303	0.0837060408345	0.0849447152055	0.0830858093323	0.086973249907	0.0885591589087	0.0893594133113	0.0881502425207	0.0877402256241	0.0898477567134	0.0896578275795	0.08672794636	0.0873787790513	0.0903356141779	0.0895441788625	0.0893588048877	0.0931455894551	0.0948358109491	0.0937015292983	0.0915666115677	0.0945486057306	0.0966810126731	0.096397051708	0.0928504541111	0.092160638521	0.0971809071611	0.0980409520294	0.0970358214666	0.0968197360887	0.0968481597156	0.0974569165387	0.100123920116	0.103719110821	0.101345261187	0.10311286832	0.10552473961	0.103798348012	0.104825159683	0.107085521458	0.108700970371	0.108179767538	0.114897424037	0.116478494259	0.109841366949	0.115250344583	0.112726697177	0.112340865015	0.110359617232	0.107943751474	0.108206518074	0.110110477793	0.109661492781	0.111838612748	0.115085094055	0.109410752766	0.113902089118	0.116630214176	0.111833857981	0.107836319239	0.110509103706	0.10544346364	0.107742933194	0.111939790726	0.110105059539	0.102538359852	0.114835661982	0.105733908467	0.110517692581	0.126115935436	0.125610663554	0.125525494391	0.12199094849	0.122831204912	0.120772397917	0.110087464429	0.116044347431	0.116105746458	0.128118999703	0.114535977644	0.116502529582	0.123434028815	0.144452954652	0.125945917792	0.133562238756	0.128181397187	0.0953386104026	0.0849469144316	0.0811064186349	0.091654100827	0.0808896754534	0.102550817094	0.0989411950636	0.0873938505123	0.0903720825732	0.13298096064	0.123879392489	0.114920521476	0.148145494344	0.135555513147	0.140574255021	0.163900036178	0.166623165104	0.175029073948	0.178387040689	0.128139371814	0.180948144969	0.134689557903	0.094432945292	0.0901231906075																								
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__	0.0221331399245	0.0221063528665	0.0221245507494	0.0221196724317	0.0221243596987	0.0222035684693	0.0221824908708	0.0221334440106	0.0221529892105	0.022146353183	0.0221675286856	0.0221576078224	0.0220875116174	0.022228905853	0.0224251167068	0.0224827858034	0.0223179260322	0.0223364654736	0.0222941992393	0.0222127063682	0.0223426418049	0.02212069425	0.0220701432228	0.0218351845577	0.021912750659	0.0219109339226	0.0218800404032	0.0216037946692	0.0218684763515	0.0218508860844	0.021909574416	0.0218341606629	0.0221750478218	0.0220349822113	0.022533930339	0.0227772451934	0.0223153705624	0.0217144782826	0.0212517112773	0.0218448342202	0.0218879910314	0.0221166813734	0.0225764512812	0.0220034220758	0.0221551766433	0.021996579383	0.0220101655874	0.0223124421296	0.0223299856927	0.0222369365044	0.0229935344544	0.022576811522	0.0222207295443	0.0220686242582	0.0211681136915	0.0220028460345	0.0226543753414	0.0227974394795	0.0214591422797	0.0213830393676	0.022064171233	0.0221335954695	0.0216841286717	0.0216772156351	0.0213478466658	0.0214597839353	0.0209778808333	0.0210744296648	0.0227834060931	0.0227679121058	0.0224904752968	0.0213040225036	0.0219878169451	0.0217221980306	0.0214769298946	0.0222481330489	0.0220600081343	0.0222393459969	0.0231427967236	0.0243104230172	0.0244738179204	0.0262327746772	0.0272805396226	0.0260702419522	0.0268135797914	0.0291255988997	0.0299101570294	0.029108206264	0.0295100390957	0.0281126898207	0.0282815062761	0.0304781927228	0.0302258018006	0.0325056670742	0.031931303703	0.03065667012	0.031002086599	0.0318425773791	0.0330641932135	0.0317911634978	0.0316429085441	0.0314001332919	0.032216705195	0.0332269021747	0.0334674300511	0.038596932091	0.0380308203426	0.034326899541	0.0397587465816	0.039609139743	0.0420935844667	0.0394133787279	0.0375664968936	0.0383223389379	0.0382564973158	0.0376457247127	0.0363959488721	0.0373947870793	0.0382049439041	0.0358580334118	0.0281095241914																																																																																																									
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__	0.0173651467369	0.0173722241373	0.0173470330801	0.0173214158678	0.0173467110591	0.0174144488492	0.0174082650119	0.0173929778728	0.0173498710629	0.0173404734114	0.0173351337608	0.0173355014346	0.0172754406274	0.0173059113794	0.0174107532455	0.017322839411	0.0172780208903	0.0172061019048	0.0173461251031	0.0174082954574	0.0176016749038	0.0176213397102	0.0178830045739	0.0180822384157	0.0180696936234	0.0180587876993	0.0179627005824	0.0179123220412	0.0180256506379	0.0178145102853	0.0179576394869	0.0178339498452	0.0178282045791	0.0180368909158	0.0185350919038	0.0182165679636	0.0182102291837	0.0187245244691	0.0186719522471	0.0192275806196	0.0190814732089	0.0186927905889	0.0185685799579	0.0185529501366	0.0185371160293	0.0188127452726	0.0186307608701	0.0187335536305	0.0186209793824	0.0190230832604	0.0186370659393	0.0186412163423	0.0186117371657	0.0184325883289	0.0204523561753	0.0212229068601	0.0210983046366	0.0204886094998	0.0195344523613	0.0196541650842	0.0190321981737	0.0186967334937	0.0202990645505	0.0204951128915	0.0214082540666	0.0216245789871	0.0215240841877	0.0212547100445	0.0218950810486	0.0224081624086	0.0218000257342	0.0207605342013	0.0205679660228	0.0204339218808	0.0193594214007	0.0204423950771	0.0201506256706	0.0197763347785	0.0208552065112	0.0214164600466	0.0210445285876	0.0206607761322	0.0200628686418	0.0192318984262																																																																																																																																														
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__	0.00377168711247	0.00379310460094	0.00379231519069	0.00377328360996	0.0037446698695	0.00384725021566	0.00380673348398	0.00379403863588	0.00377592252168	0.00376336969498	0.00386077911088	0.00380703524312	0.00378717231268	0.00384117657386	0.00398802441178	0.00392934166704	0.0038636342001	0.00387676225078	0.00389469650416	0.00379850108487																																																																																																																																																																																																														
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__kroppenstedtii	-0.0290441575302	-0.0290345005175	-0.0290393799482	-0.0290068952914	-0.0290277126383	-0.029021471707	-0.0290550624246	-0.0290631484469	-0.0291089287079	-0.0290604511117	-0.0290929156813	-0.0290922706074	-0.0290787602131	-0.0291880337684	-0.0291425939095	-0.0292555316404	-0.0293431522069	-0.0293534878178	-0.0292303906472	-0.0295068181583	-0.0292930232188	-0.0291925564519	-0.0290751933393	-0.0292564637246	-0.028985878791	-0.0289882199083	-0.0289658618281	-0.0288044359589	-0.0287040683974	-0.0288291674094	-0.0285129434784	-0.0287079323757	-0.0293360084441	-0.0290382095651	-0.0291106815773	-0.0295293578527	-0.0293388673331	-0.0292849124048	-0.0292484617431	-0.0295335239395	-0.029364418854	-0.0298608579409	-0.0303207288447	-0.0298692147033	-0.0302918414159	-0.0300459614758	-0.0294628389091	-0.0297861532615	-0.0297355270313	-0.0298260275606	-0.0300668460855	-0.028820609199	-0.0287979208212	-0.0290935450801	-0.0276179327544	-0.0272775411124	-0.0274234358745	-0.0282306625763	-0.0282217226155	-0.0277249885802	-0.0279854202248	-0.0276525294401	-0.0285684568794	-0.0283561111403	-0.0282412055028	-0.0287632319926	-0.029225931659	-0.0299809842652	-0.0312901774733	-0.0315948865369	-0.0312137174917	-0.0308566473127	-0.0313621964774	-0.0314382458349	-0.0308488883612	-0.0324721822702	-0.0315465564952	-0.0321287487008	-0.0320718634077	-0.0317760004744	-0.0316836057149	-0.0323855513175	-0.0332711519924	-0.0325746635431	-0.0323971765992	-0.0327321741345	-0.0342259147538	-0.0330608798181	-0.0337421803058	-0.0347197838549	-0.0347938843442	-0.0344836798179	-0.0321134998336	-0.0303133035454	-0.0285002738416	-0.0285388075388	-0.0309536257998	-0.0287613888101	-0.0292013484594	-0.0274941473471	-0.029121304489	-0.0266398234787	-0.0289895511359	-0.0309710179164	-0.0296727053584	-0.0324694193041	-0.0297115144548	-0.0249083412254																																																																																																																						
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__simulans	-0.0234987054238	-0.0234380255744	-0.0234282405957	-0.0234546575771	-0.0234743855448	-0.0234348562366	-0.0234408866096	-0.0233882435054	-0.0233505236436	-0.0233184768249	-0.0233404303743	-0.0233573898709	-0.0233377324563	-0.0233758737483	-0.0233446913717	-0.0234322821351	-0.023308125475	-0.0232654521333	-0.0233164274982	-0.0232894195332	-0.0231426544132	-0.0232630657025	-0.0234972394889	-0.0234511980642	-0.0235178102219	-0.0235234828192	-0.0231894509513	-0.0231899310614	-0.0234095041766	-0.0236336787253	-0.0235502091664	-0.0234444172749	-0.0232668143594	-0.0232511929202	-0.0229806162879	-0.0219187943013	-0.0224455327212	-0.0225928557684	-0.0227611226981	-0.0225165448669	-0.0226810976548	-0.0226485459321	-0.0226397370321	-0.0223449443063	-0.0224256014063	-0.0218795953377	-0.0218142983779	-0.0218458275664	-0.0218373914255	-0.0214688909462	-0.020832352843	-0.0207359216477	-0.0200938863163	-0.0203089215486	-0.0208066886559	-0.0205438407251	-0.0197747980951	-0.0195052578822	-0.0195021790376	-0.020135548076	-0.0199750662794	-0.0195461015845	-0.0193433619151	-0.0188157028161	-0.0188431222308	-0.0197143858006	-0.0200215759251	-0.019269954806	-0.0191890136227	-0.0201561950623	-0.0187859717898	-0.0196430669206	-0.0202841680269	-0.0199352516217	-0.0199696571217	-0.0177051051949																																																																																																																																																						
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__stationis	-0.0406799184239	-0.0406419676771	-0.0406321598274	-0.0406397189807	-0.0406230961471	-0.0406122983357	-0.0406172213134	-0.0406284014506	-0.0406309720818	-0.0405797556627	-0.0406211325875	-0.0406550224846	-0.0406436632472	-0.0407088836969	-0.040806283771	-0.0409101823219	-0.0411942803979	-0.0410886054486	-0.0410775400371	-0.0411121031664	-0.0410970756324	-0.0411828271097	-0.0412147647819	-0.041317864312	-0.041299921078	-0.0409411499396	-0.040801694038	-0.0407900088783	-0.0409534878718	-0.0409323351412	-0.0408910462946	-0.0406043275806	-0.0406297184373	-0.0406041298832	-0.0399790723126	-0.0400084408284	-0.0403048330784	-0.0402360734753	-0.0397780576118	-0.0397424216438	-0.0391265778539	-0.0394370216473	-0.0395434922168	-0.0395864282072	-0.0391839436722	-0.039130938521	-0.0394303040418	-0.0399706585447	-0.0400421504762	-0.0400662925321	-0.0397198253137	-0.0391643902102	-0.0383089467877	-0.038546121607	-0.0385037657004	-0.0384136974442	-0.0386123265777	-0.0392888091038	-0.0392742553087	-0.0384867732846	-0.0394628699125	-0.0386522068232	-0.0393304556216	-0.039639682895	-0.039359892967	-0.0397279872129	-0.039517779172	-0.0398657244729	-0.0403722523454	-0.0389867616593	-0.0386970924838	-0.0380369140012	-0.0386077635189	-0.038492475165	-0.0385698739295	-0.0357973289023	-0.0375340197695	-0.0371967109209	-0.0377288607518	-0.0369379088699	-0.0374623862887	-0.0378646933346	-0.0373805111099	-0.038670894805	-0.036956094659	-0.0363832879584	-0.0353157993066	-0.0345880702196	-0.0343349030762	-0.0335143963157	-0.0339980079377	-0.0344608368399	-0.0356223945396	-0.0399200821433	-0.040024592392	-0.0384292759886	-0.038085659429	-0.0379630757771	-0.0388253784453	-0.0386838336238	-0.0432579941315	-0.0414481240444	-0.0412375109192	-0.0416838023153	-0.0444523237243	-0.044655311393	-0.0447940738049	-0.0445772118691	-0.0436038730223	-0.0406882585638	-0.040342907976	-0.0418078724274	-0.0450870224369	-0.0439885730909	-0.042926940895	-0.0429213727185	-0.0409042658335	-0.0420179106174	-0.0471492384047	-0.0453346691946	-0.0401429391336	-0.0407296849926	-0.0401860924716	-0.0410846695047	-0.0432604637139	-0.0421331047993	-0.0429781044026	-0.0415418888542	-0.040387230253	-0.0386257940443	-0.0400792918146	-0.040237733666	-0.0406269657431	-0.0392267562744	-0.0363632593689	-0.0320691528229																																																																																										
