Feature	rank	coef	abs_coef	mean	mean_0	mean_1	mlr	prev	prev_0	prev_1	plr	i_coef	i_coef_l	i_coef_h	i_pvalue	kingdom	phylum	class	order	family	genus	species	otu_id
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__;otu__282360	1	-0.041737566688900003	0.041737566688900003	9.974264533463945e-05	0.00013594878318334814	1.0873034251445454e-05	-1.0619964571542617	0.2631578947368421	0.3148148148148148	0.13636363636363635	-0.26324143477458134	-0.43071287942126557	-0.90997718660492977	0.04855142776239868	0.078168755612981908	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium		282360
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__;otu__738351	2	-0.047412392421900006	0.047412392421900006	9.006656109068422e-06	1.2158584023188888e-05	1.2701057744090906e-06	-0.7631630645786135	0.19736842105263158	0.25925925925925924	0.045454545454545456	-0.48509018439093776	-0.47906109812740566	-0.97609408701886968	0.017971890764058307	0.058879109859747272	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			738351
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Dialister;s__;otu__174638	3	-0.032619811991299999	0.032619811991299999	0.00034745632099360784	0.00037834939679118134	0.0002716278622177454	-0.14346915971717822	0.8157894736842105	0.8518518518518519	0.7272727272727273	-0.05167785755668124	-0.3809567545200469	-0.85154603131949913	0.08963252227940538	0.11259143444023685	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Dialister		174638
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__;otu__69664	4	-0.052239720855300008	0.052239720855300008	0.0005687461118749895	0.0007010800621607628	0.000243926415719	-0.4573510129812968	0.3684210526315789	0.46296296296296297	0.13636363636363635	-0.42294227764209325	-0.51625099543374209	-0.99255656517577395	-0.039945425691710168	0.033642006727777306	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		69664
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__;otu__97301	5	0.055597187128099995	0.055597187128099995	1.623888014782368e-05	1.127712212558889e-05	2.8417740747854544e-05	0.3795127403337175	0.13157894736842105	0.09259259259259259	0.22727272727272727	0.3899710790007623	0.36518637343942689	-0.13424681347681167	0.86461956035566545	0.15182100047160965	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		97301
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__;s__;otu__4388068	6	0.0427104864668	0.0427104864668	0.0001590979219329671	0.00014329207589943514	0.0001978940894698182	0.13937939583875353	0.3157894736842105	0.25925925925925924	0.45454545454545453	0.255272505103306	0.33750433537538288	-0.12541538852308221	0.80042405927384797	0.15301413274459311	Bacteria	Tenericutes	Mollicutes	RF39				4388068
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae;otu__4079463	7	0.060716380521999999	0.060716380521999999	1.091896231315658e-05	5.056139933887037e-06	2.5309526335e-05	0.6379171278438477	0.17105263157894737	0.1111111111111111	0.3181818181818182	0.44796302597844906	0.53975153677728172	0.016410332572140085	1.0630927409824233	0.04323606976589197	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	parainfluenzae	4079463
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__;otu__4449458	8	0.062005093467100002	0.062005093467100002	2.4359773747301316e-05	1.9508952484544443e-05	3.626633502861363e-05	0.2593732050981307	0.17105263157894737	0.1111111111111111	0.3181818181818182	0.44796302597844906	0.49405787061073753	-0.023498295906815458	1.0116140371282905	0.061348282732828642	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		4449458
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__;otu__3318103	9	0.0399830900819	0.0399830900819	7.103749288639474e-06	3.074505335022222e-06	1.6993711720245457e-05	0.6450458675154694	0.17105263157894737	0.09259259259259259	0.36363636363636365	0.5660623380564436	0.72651665798305931	0.15556200247927421	1.2974713134868443	0.012632153663297433	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia		3318103
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__;otu__266274	10	-0.038856289272400001	0.038856289272400001	0.00014546818525391716	0.00018507423128444076	4.8253344997177263e-05	-0.577250502937744	0.6447368421052632	0.7037037037037037	0.5	-0.12191228197811213	-0.38718161566973597	-0.85074681379026407	0.076383582450792131	0.10162785852487663	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			266274
