Feature	rank	coef	abs_coef	mean	mean_0	mean_1	mlr	prev	prev_0	prev_1	plr	i_coef	i_coef_l	i_coef_h	i_pvalue	kingdom	phylum	class	order	family	genus	species
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__bifidum	1	0.571078532172	0.571078532172	0.0003257480412834439	2.3920720602269442e-05	0.0010363249041372273	1.6193542084439825	0.2073170731707317	0.08333333333333333	0.5	0.6910010746647435	1.2499627629414221	0.42851765307934131	2.071407872803503	0.0028599339763069349	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	bifidum
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella;s__	2	-0.38479202043999999	0.38479202043999999	1.0119121544780485e-05	1.4333608362275002e-05	2.6902548209363635e-06	-0.6185880104199439	0.13414634146341464	0.16666666666666666	0.045454545454545456	-0.33018822440519463	-0.38625367236293029	-0.96660456332989975	0.19409721860403917	0.19207751527031347	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__aminovorans	3	0.47567852762500001	0.47567852762500001	1.1720966647251218e-05	2.2567105560944443e-06	3.2213684614427274e-05	1.0085378955824815	0.12195121951219512	0.05555555555555555	0.2727272727272727	0.5818566052396754	0.82697374970745563	0.05700351071840204	1.5969439886965091	0.035285496142517081	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	aminovorans
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__;s__	4	-0.23821271270599997	0.23821271270599997	0.00022566586272733895	0.00034366026602962777	0.0001896674799527	-0.2571145923452434	0.5487804878048781	0.7222222222222222	0.5	-0.13830269816628152	-0.36713755453344504	-0.89497868196522989	0.16070357289833975	0.17280554425692329	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales			
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera;s__	5	-0.41267419403200001	0.41267419403200001	0.010014984625083549	0.010779669933235718	0.0065623353712706	-0.21552115338267766	0.8414634146341463	0.9166666666666666	0.8181818181818182	-0.03884549614434514	-0.55009566972625268	-1.1250837798119238	0.0248924403594184	0.060777174539791631	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megasphaera	
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__;s__	6	0.46446236611399999	0.46446236611399999	5.480675184022684e-05	8.553220452005557e-06	0.00015324066803186818	1.2080490978091787	0.21951219512195122	0.1111111111111111	0.36363636363636365	0.46915232504838705	0.78886010928361039	0.11842646793182809	1.4592937506353927	0.021100847554118694	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae		
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__ureolyticus	7	0.32192981253399999	0.32192981253399999	0.0006875743334034025	0.0005621475863351501	0.0011766830280419136	0.32040618928965425	0.4634146341463415	0.4722222222222222	0.45454545454545453	0.0	0.084358661782148042	-0.43109234331900304	0.59980966688329906	0.7483865775513886	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	ureolyticus
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa	8	0.54183336686200001	0.54183336686200001	6.854243627549145e-05	1.6082376892780558e-05	0.00014271995256552272	0.9249687656098682	0.21951219512195122	0.08333333333333333	0.36363636363636365	0.5660623380564436	0.77693600931442808	0.099590927845801924	1.4542810907830543	0.024567261794492562	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	mucilaginosa
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Shigella;s__sonnei	9	0.45677167702499999	0.45677167702499999	5.307616989960975e-06	1.685890104675e-06	1.1582629629390912e-05	0.6706831741095163	0.12195121951219512	0.05555555555555555	0.22727272727272727	0.5149098156090622	0.64524649168066306	-0.043613328642554294	1.3341063120038803	0.066376282860222485	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Shigella	sonnei
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__	10	0.50881717811399996	0.50881717811399996	3.083064264130611e-05	3.1335507245427774e-05	2.961864492208636e-05	-0.02369371171248861	0.3902439024390244	0.2777777777777778	0.45454545454545453	0.21387981994508098	0.27838004081928569	-0.2451977373171379	0.80195781895570928	0.29737023136427188	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__	11	-0.38770754623999998	0.38770754623999998	0.0002609032300467329	0.00044194072245889163	0.00011121149326816362	-0.5963082678395409	0.5487804878048781	0.7222222222222222	0.36363636363636365	-0.26324143477458134	-0.82865134335279922	-1.4057805994003347	-0.25152208730526382	0.0048906799250103298	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae		
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__;s__	12	0.53125865539700001	0.53125865539700001	9.042678992517072e-06	8.151473949527777e-07	1.0999501683031819e-05	0.8202513142721611	0.17073170731707318	0.027777777777777776	0.2727272727272727	0.7579478642953567	1.1120833207742555	0.12518209289533366	2.0989845486531773	0.027204365581090104	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae		
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Erwinia;s__	13	-0.32876551497900003	0.32876551497900003	0.00020453804847029024	0.0002628086015758139	0.00016321685405561818	-0.20587122378870984	0.35365853658536583	0.3333333333333333	0.4090909090909091	0.09993646763824426	0.029034335449557698	-0.48581379074440922	0.54388246164352461	0.91198892288770816	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Erwinia	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__luteciae	14	-0.35304001680899999	0.35304001680899999	0.00017987066938814024	0.00019629158846421667	4.1347747073331816e-05	-0.6682782589392052	0.45121951219512196	0.5	0.36363636363636365	-0.11063127156842303	-0.3382793904696611	-0.86773618735963187	0.19117740642030973	0.21047661595162226	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	luteciae
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;s__	15	0.157375791647	0.157375791647	5.994709225891464e-06	4.927755334397222e-06	1.2221966458604545e-05	0.3484057810915132	0.0975609756097561	0.05555555555555555	0.22727272727272727	0.5149098156090622	0.52606006543106254	-0.113722166792248	1.1658422976543732	0.10705386531962156	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__;s__	16	-0.15279132542099999	0.15279132542099999	0.0017861394139330666	0.0021656514259747396	0.0009410373331248271	-0.36172093270350647	0.6951219512195121	0.8055555555555556	0.5	-0.18406018872695665	-0.59833769122242597	-1.1547984537894538	-0.04187692865539816	0.035077487853608348	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae		
